sample_id,word_id,raw_word,start_candidate,end_candidate,algorithm_status,review_status,main_text_evidence,priority,bounds_order_check,audio_offset_s,review_page
06,3,fan,0.7868997293307087,0.8511364419291338,rejected,pending,True,1,pass,0.0,assets/06_review.html
06,26,this,6.311257012795275,6.407612081692914,rejected,pending,False,1,pass,0.0,assets/06_review.html
15,1,despite,5.565935169956141,5.694256441885965,rejected,pending,False,1,pass,0.0,assets/15_review.html
15,2,their,5.694256441885965,5.758417077850877,rejected,pending,True,1,pass,0.0,assets/15_review.html
15,3,"poverty,",5.758417077850877,5.8225777138157895,rejected,pending,True,1,pass,0.0,assets/15_review.html
15,4,the,5.8225777138157895,5.8867383497807015,rejected,pending,False,1,pass,0.0,assets/15_review.html
15,6,prioritize,5.9829793037280705,6.175461211622807,rejected,pending,False,1,pass,0.0,assets/15_review.html
15,7,education,6.175461211622807,6.239621847587719,rejected,pending,False,1,pass,0.0,assets/15_review.html
15,8,because,6.239621847587719,6.335862801535088,rejected,pending,False,1,pass,0.0,assets/15_review.html
15,11,in,6.560425027412281,6.752906935307017,rejected,pending,False,1,pass,0.0,assets/15_review.html
15,12,its,6.752906935307017,6.849147889254386,rejected,pending,True,1,pass,0.0,assets/15_review.html
15,14,to,7.041629797149123,7.105790433114036,rejected,pending,False,1,pass,0.0,assets/15_review.html
15,15,transform,7.105790433114036,7.202031387061403,rejected,pending,True,1,pass,0.0,assets/15_review.html
15,16,lives,7.202031387061403,7.266192023026315,rejected,pending,False,1,pass,0.0,assets/15_review.html
01,9,is,3.1611904017857135,3.5784033482142856,accepted,pending,True,2,pass,0.0,assets/01_review.html
01,10,essential,3.5784033482142856,3.8993363839285706,accepted,pending,True,2,pass,0.0,assets/01_review.html
01,12,ensuring,4.444922544642857,4.958415401785714,accepted,pending,True,2,pass,0.0,assets/01_review.html
01,14,new,5.118881919642856,5.2472551339285705,accepted,pending,True,2,pass,0.0,assets/01_review.html
02,2,to,0.5978149271844659,0.727072208737864,accepted,pending,True,2,pass,0.0,assets/02_review.html
02,9,not,1.6965018203883493,1.858073422330097,accepted,pending,True,2,pass,0.0,assets/02_review.html
02,13,misery.,2.3912597087378638,2.5689884708737862,accepted,pending,True,2,pass,0.0,assets/02_review.html
03,3,at,1.2702961409395974,1.4954119127516778,accepted,pending,True,2,pass,0.0,assets/03_review.html
03,4,the,1.4954119127516778,1.6562088926174496,accepted,pending,True,2,pass,0.0,assets/03_review.html
03,5,moment,1.6562088926174496,1.7848464765100671,accepted,pending,True,2,pass,0.0,assets/03_review.html
03,11,Bankwest,2.8139471476510067,3.5536132550335573,accepted,pending,True,2,pass,0.0,assets/03_review.html
03,12,who,3.5842432885906037,4.100322986577181,accepted,pending,True,2,pass,0.0,assets/03_review.html
03,13,don't,4.100322986577181,4.663112416107383,accepted,pending,True,2,pass,0.0,assets/03_review.html
03,21,rental,7.0589874161073825,7.734334731543624,accepted,pending,True,2,pass,0.0,assets/03_review.html
