sample_id,original_identity_risk,original_no_face,arcface_partition_stable,stage2_usable_fraction,stage3_visual_status,direct_talknet_verified_fraction,continuity_recovered_fraction,ambiguous_fraction,missing_fraction,unresolved_fraction,total_usable_visual_fraction
-9y-fZ3swSY$_$8,1,0,1,0.0,UNRESOLVED,0.0,0.0,0.0,0.0,1.0,0.0
-HwX2H8Z4hY$_$2,1,0,1,0.0,UNRESOLVED,0.0,0.0,0.0,0.6302521008403362,0.36974789915966383,0.0
-HwX2H8Z4hY$_$5,1,0,1,0.0,UNRESOLVED,0.0,0.0,0.0,0.576923076923077,0.423076923076923,0.0
-HwX2H8Z4hY$_$6,1,0,1,0.0,UNRESOLVED,0.0,0.0,0.0,0.37500000000000006,0.625,0.0
-HwX2H8Z4hY$_$9,1,0,1,0.25646551724137934,PARTIALLY_VERIFIED,0.25646551724137934,0.4202586206896552,0.0,0.1939655172413793,0.12931034482758622,0.6767241379310345
-MeTTeMJBNc$_$0,1,0,1,0.13392857142857142,FULLY_VERIFIED,0.13392857142857142,0.8660714285714286,0.0,0.0,0.0,1.0
-MeTTeMJBNc$_$7,1,0,1,0.0,AMBIGUOUS,0.0,0.0,0.047619047619047616,0.0,0.9523809523809523,0.0
-NFrJFQijFE$_$1,0,1,1,0.0,MISSING,0.0,0.0,0.0,1.0,0.0,0.0
-NFrJFQijFE$_$2,0,1,1,0.0,MISSING,0.0,0.0,0.0,1.0,0.0,0.0
-RfYyzHpjk4$_$2,1,0,1,0.2727272727272727,FULLY_VERIFIED,0.2727272727272727,0.7272727272727273,0.0,0.0,0.0,1.0
-THoVjtIkeU$_$6,1,0,0,0.7747933884297521,PARTIALLY_VERIFIED,0.7747933884297521,0.0,0.0,0.0,0.2252066115702479,0.7747933884297521
-UuX1xuaiiE$_$0,1,0,1,0.0,AMBIGUOUS,0.0,0.0,0.5945945945945945,0.0,0.40540540540540543,0.0
-UuX1xuaiiE$_$1,1,0,1,0.0,AMBIGUOUS,0.0,0.0,0.9677419354838709,0.0,0.03225806451612909,0.0
-UuX1xuaiiE$_$3,1,0,1,0.12195121951219513,FULLY_VERIFIED,0.12195121951219513,0.7926829268292683,0.0,0.0,0.08536585365853651,0.9146341463414634
-UuX1xuaiiE$_$6,1,0,1,0.2777777777777778,FULLY_VERIFIED,0.2777777777777778,0.7222222222222222,0.0,0.0,0.0,1.0
-dxfTGcXJoc$_$1,1,0,1,0.9142561983471075,FULLY_VERIFIED,0.9142561983471075,0.08574380165289254,0.0,0.0,0.0,1.0
-dxfTGcXJoc$_$6,1,0,1,0.9227748691099477,FULLY_VERIFIED,0.9227748691099477,0.0772251308900523,0.0,0.0,0.0,1.0
-hnBHBN8p5A$_$6,1,0,0,0.0,UNRESOLVED,0.0,0.0,0.0,0.33399962390566995,0.66600037609433,0.0
-hnBHBN8p5A$_$7,1,0,0,0.0,UNRESOLVED,0.0,0.0,0.0,0.1362274089546817,0.8637725910453183,0.0
-iRBcNs9oI8$_$9,1,0,1,0.0,UNRESOLVED,0.0,0.0,0.0,0.14691191161779396,0.8530880883822061,0.0
-lzEya4AM_4$_$6,1,0,1,0.5925507900677202,FULLY_VERIFIED,0.5925507900677202,0.4074492099322799,0.0,0.0,0.0,1.0
-mJ2ud6oKI8$_$1,0,1,1,0.0,MISSING,0.0,0.0,0.0,1.0,0.0,0.0
-mJ2ud6oKI8$_$2,1,0,1,0.0,AMBIGUOUS,0.0,0.0,0.0438158332895175,0.70105333263228,0.25513083407820253,0.0
-mJ2ud6oKI8$_$9,1,0,1,0.0,UNRESOLVED,0.0,0.0,0.0,0.0,1.0,0.0
-ri04Z7vwnc$_$0,0,1,1,0.0,MISSING,0.0,0.0,0.0,1.0,0.0,0.0
-s9qJ7ATP7w$_$0,1,0,0,0.0,UNRESOLVED,0.0,0.0,0.0,0.0,1.0,0.0
-s9qJ7ATP7w$_$1,1,0,0,0.2097902097902098,PARTIALLY_VERIFIED,0.2097902097902098,0.0,0.0,0.0,0.7902097902097902,0.2097902097902098
-s9qJ7ATP7w$_$4,1,0,1,0.17045454545454547,PARTIALLY_VERIFIED,0.17045454545454547,0.2613636363636363,0.05681818181818182,0.17045454545454547,0.34090909090909094,0.43181818181818177
-s9qJ7ATP7w$_$7,1,0,0,0.0,UNRESOLVED,0.0,0.0,0.0,0.2524038461538462,0.7475961538461539,0.0
-s9qJ7ATP7w$_$8,1,0,0,0.15306122448979592,PARTIALLY_VERIFIED,0.15306122448979592,0.0,0.0,0.0,0.8469387755102041,0.15306122448979592
-tANM6ETl_M$_$3,1,0,1,0.7797029702970297,FULLY_VERIFIED,0.7797029702970297,0.2202970297029703,0.0,0.0,0.0,1.0
-wMB_hJL-3o$_$7,1,0,0,0.8701657458563536,PARTIALLY_VERIFIED,0.8701657458563536,0.0,0.0,0.0,0.12983425414364638,0.8701657458563536
-wny0OAz3g8$_$0,1,0,1,0.8250000000000001,FULLY_VERIFIED,0.8250000000000001,0.17499999999999993,0.0,0.0,0.0,1.0
-wny0OAz3g8$_$1,1,0,1,0.951219512195122,FULLY_VERIFIED,0.951219512195122,0.04878048780487801,0.0,0.0,0.0,1.0
-wny0OAz3g8$_$2,1,0,1,0.7875000000000001,FULLY_VERIFIED,0.7875000000000001,0.21249999999999994,0.0,0.0,0.0,1.0
-wny0OAz3g8$_$3,1,0,1,0.6521739130434783,FULLY_VERIFIED,0.6521739130434783,0.3478260869565217,0.0,0.0,0.0,1.0
-wny0OAz3g8$_$5,1,0,1,0.9057971014492754,FULLY_VERIFIED,0.9057971014492754,0.09420289855072457,0.0,0.0,0.0,1.0
-wny0OAz3g8$_$7,1,0,1,0.8987603305785125,FULLY_VERIFIED,0.8987603305785125,0.10123966942148757,0.0,0.0,0.0,1.0
-wny0OAz3g8$_$9,1,0,1,0.8467741935483871,FULLY_VERIFIED,0.8467741935483871,0.15322580645161293,0.0,0.0,0.0,1.0
-yRb-Jum7EQ$_$1,1,0,1,0.0,AMBIGUOUS,0.0,0.0,0.23063781321184512,0.0,0.7693621867881549,0.0
-yRb-Jum7EQ$_$5,1,0,1,0.0949367088607595,FULLY_VERIFIED,0.0949367088607595,0.9050632911392406,0.0,0.0,0.0,1.0
