sample_id,word_id,raw_word,auto_start_common,auto_end_common,auto_log_score,algorithm_status,review_status,reviewer,reviewed_at,review_start_common,review_end_common,notes
01,0,Replacing,0.2086064732142857,0.8344258928571427,-0.006995170443364529,accepted,pending,,,,,
01,1,these,0.8344258928571427,1.0430323660714285,-0.0016727731452993073,accepted,pending,,,,,
01,2,wear,1.0430323660714285,1.2355921874999998,-1.8933883209134212e-05,accepted,pending,,,,,
01,3,components,1.2355921874999998,1.8935049107142854,-0.42922264838066515,accepted,pending,,,,,
01,4,when,1.8935049107142854,2.0058314732142852,-0.0031489808946692697,accepted,pending,,,,,
01,5,replacing,2.0058314732142852,2.503277678571428,-0.002006104660722041,accepted,pending,,,,,
01,6,the,2.503277678571428,2.615604241071428,-0.02195460710815193,accepted,pending,,,,,
01,7,timing,2.615604241071428,2.9044439732142857,-0.19731489089026583,accepted,pending,,,,,
01,8,belt,2.9044439732142857,3.1611904017857135,-0.048414262907434544,accepted,pending,,,,,
01,9,is,3.1611904017857135,3.5784033482142856,-0.00042047109928893586,accepted,pending,,,,,
01,10,essential,3.5784033482142856,3.8993363839285706,-7.068348385372601e-05,accepted,pending,,,,,
01,11,to,3.9288758928571426,4.444922544642857,-4.552266965163199e-06,accepted,pending,,,,,
01,12,ensuring,4.444922544642857,4.958415401785714,-0.21773457010446862,accepted,pending,,,,,
01,13,the,4.958415401785714,5.118881919642856,-0.16637480319057354,accepted,pending,,,,,
01,14,new,5.118881919642856,5.2472551339285705,-0.004878761706947898,accepted,pending,,,,,
01,15,belt,5.2472551339285705,5.616328124999999,-0.0004333089190450582,accepted,pending,,,,,
01,16,performs,5.822380803571428,6.627267187499999,-1.0428109815734388e-05,accepted,pending,,,,,
01,17,to,6.627267187499999,6.851920312499999,-0.00012851613598385825,accepted,pending,,,,,
01,18,its,6.851920312499999,7.012386830357142,-0.00031962294124809887,accepted,pending,,,,,
01,19,mileage,7.012386830357142,7.477739732142856,-0.03902475213470022,accepted,pending,,,,,
01,20,requirements,7.477739732142856,8.199839062499999,-0.0008117053556709354,accepted,pending,,,,,
02,0,We,0.19388592233009708,0.46855764563106794,-2.686476976521135e-05,accepted,pending,,,,,
02,1,want,0.46855764563106794,0.5978149271844659,-0.00011398128185646783,accepted,pending,,,,,
02,2,to,0.5978149271844659,0.727072208737864,-2.97418521029158e-05,accepted,pending,,,,,
