sample_id,sample_index,image_index,time_s,frame_path,sheet
-9y-fZ3swSY$_$8,10,20,0.733333,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000010/frames/000020.png,identity_contact_01.jpg
-9y-fZ3swSY$_$8,10,63,2.466667,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000010/frames/000063.png,identity_contact_01.jpg
-9y-fZ3swSY$_$8,10,106,4.200000,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000010/frames/000106.png,identity_contact_01.jpg
-HwX2H8Z4hY$_$2,13,16,0.600000,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000013/frames/000016.png,identity_contact_01.jpg
-HwX2H8Z4hY$_$2,13,51,2.000000,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000013/frames/000051.png,identity_contact_01.jpg
-HwX2H8Z4hY$_$2,13,85,3.333333,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000013/frames/000085.png,identity_contact_01.jpg
-HwX2H8Z4hY$_$5,14,22,0.833333,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000014/frames/000022.png,identity_contact_01.jpg
-HwX2H8Z4hY$_$5,14,71,2.800000,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000014/frames/000071.png,identity_contact_01.jpg
-HwX2H8Z4hY$_$5,14,120,4.733333,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000014/frames/000120.png,identity_contact_01.jpg
-HwX2H8Z4hY$_$6,15,13,0.466667,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000015/frames/000013.png,identity_contact_01.jpg
-HwX2H8Z4hY$_$6,15,42,1.633333,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000015/frames/000042.png,identity_contact_01.jpg
-HwX2H8Z4hY$_$6,15,71,2.800000,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000015/frames/000071.png,identity_contact_01.jpg
-HwX2H8Z4hY$_$9,16,30,1.133333,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000016/frames/000030.png,identity_contact_01.jpg
-HwX2H8Z4hY$_$9,16,97,3.833333,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000016/frames/000097.png,identity_contact_01.jpg
-HwX2H8Z4hY$_$9,16,165,6.533333,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000016/frames/000165.png,identity_contact_01.jpg
-MeTTeMJBNc$_$0,19,36,1.400000,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000019/frames/000036.png,identity_contact_01.jpg
-MeTTeMJBNc$_$0,19,117,4.633333,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000019/frames/000117.png,identity_contact_01.jpg
-MeTTeMJBNc$_$0,19,198,7.866667,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000019/frames/000198.png,identity_contact_01.jpg
-MeTTeMJBNc$_$7,21,40,1.533333,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000021/frames/000040.png,identity_contact_01.jpg
-MeTTeMJBNc$_$7,21,131,5.200000,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000021/frames/000131.png,identity_contact_01.jpg
-MeTTeMJBNc$_$7,21,223,8.866667,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000021/frames/000223.png,identity_contact_01.jpg
-RfYyzHpjk4$_$2,25,21,0.800000,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000025/frames/000021.png,identity_contact_02.jpg
