sample_id,true_class,pred_class,true_score,pred_score,residual,abs_error,class
-AUZQgSxyPQ$_$2,2,2,0.6666666865348816,1.5067696571350098,0.8401029706001282,0.8401029706001282,Pos
-HeZS2-Prhc$_$2,2,2,0.6666666865348816,0.5093315839767456,-0.157335102558136,0.157335102558136,Pos
-MeTTeMJBNc$_$0,2,2,0.3333333432674408,0.5600488781929016,0.22671553492546082,0.22671553492546082,Pos
-RfYyzHpjk4$_$2,2,2,0.3333333432674408,0.5267044305801392,0.19337108731269836,0.19337108731269836,Pos
-s9qJ7ATP7w$_$2,2,2,1.3333333730697632,1.5468990802764893,0.21356570720672607,0.21356570720672607,Pos
-s9qJ7ATP7w$_$5,0,0,-2.0,-0.2049918919801712,1.7950081080198288,1.7950081080198288,Neg
-s9qJ7ATP7w$_$6,1,0,0.0,-0.4122612476348877,-0.4122612476348877,0.4122612476348877,Neu
-yRb-Jum7EQ$_$1,1,0,0.0,-0.7920882701873779,-0.7920882701873779,0.7920882701873779,Neu
0K7dCp80n9c$_$6,1,0,0.0,-0.6809906959533691,-0.6809906959533691,0.6809906959533691,Neu
0YiAKqU36KE$_$1,2,2,1.3333333730697632,0.5459107756614685,-0.7874225974082947,0.7874225974082947,Pos
0YiAKqU36KE$_$0,0,0,-1.0,-0.3146350681781769,0.6853649318218231,0.6853649318218231,Neg
0bxhZ-LIfZY$_$4,0,0,-0.3333333432674408,0.0590012334287166,0.3923345766961574,0.3923345766961574,Neg
100178$_$15,1,0,0.0,-0.8908705711364746,-0.8908705711364746,0.8908705711364746,Neu
10219$_$10,2,0,2.0,-0.8156882524490356,-2.8156882524490356,2.8156882524490356,Pos
10219$_$1,1,1,0.0,0.0897178053855896,0.0897178053855896,0.0897178053855896,Neu
10219$_$5,2,2,1.6666666269302368,0.4887433648109436,-1.1779232621192932,1.1779232621192932,Pos
102213$_$2,2,2,1.3333333730697632,1.2946900129318235,-0.038643360137939675,0.038643360137939675,Pos
102213$_$5,0,0,-1.0,-1.5636370182037354,-0.5636370182037354,0.5636370182037354,Neg
102213$_$7,0,0,-1.0,-0.21979920566082,0.78020079433918,0.78020079433918,Neg
102389$_$5,0,0,-1.6666666269302368,-0.0825091451406478,1.584157481789589,1.584157481789589,Neg
104741$_$0,1,1,0.0,0.3729038536548614,0.3729038536548614,0.3729038536548614,Neu
104741$_$5,1,1,0.0,-0.1641373187303543,-0.1641373187303543,0.1641373187303543,Neu
107585$_$12,0,0,-2.0,-1.8339636325836184,0.16603636741638161,0.16603636741638161,Neg
107585$_$18,0,0,-2.0,-1.9638855457305908,0.03611445426940918,0.03611445426940918,Neg
