sample_id,video_id,face_id,episode_id,episode_frame_index,source_image_index,start,end,class1_logit,is_speaking
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,0,1,0.0,0.04,1.4210048913955688,1
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,1,2,0.04,0.08,1.629618525505066,1
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,2,4,0.08,0.12,1.7292653322219849,1
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,3,5,0.12,0.16,1.7634989023208618,1
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,4,5,0.16,0.2,1.9072030782699585,1
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,5,6,0.2,0.24,1.8838467597961426,1
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,6,7,0.24,0.28,1.9855999946594238,1
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,7,9,0.28,0.32,2.0987355709075928,1
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,8,10,0.32,0.36,2.057877779006958,1
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,9,10,0.36,0.4,2.1992180347442627,1
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,10,11,0.4,0.44,2.018108606338501,1
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,11,12,0.44,0.48,2.0531232357025146,1
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,12,14,0.48,0.52,1.7051235437393188,1
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,13,15,0.52,0.56,1.4158129692077637,1
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,14,15,0.56,0.6,0.7756325602531433,1
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,15,16,0.6,0.64,0.5839869976043701,1
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,16,17,0.64,0.68,0.20611314475536346,1
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,17,19,0.68,0.72,-0.1805904507637024,0
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,18,20,0.72,0.76,-0.3148621618747711,0
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,19,20,0.76,0.8,-0.1790812462568283,0
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,20,21,0.8,0.84,0.057681214064359665,1
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,21,22,0.84,0.88,-0.009718929417431355,0
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,22,24,0.88,0.92,-0.01412066351622343,0
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,23,25,0.92,0.96,-0.18190442025661469,0
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,24,25,0.96,1.0,-0.1692148894071579,0
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,25,26,1.0,1.04,-0.44122669100761414,0
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,26,27,1.04,1.08,-0.39312466979026794,0
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,27,29,1.08,1.12,-0.3305240571498871,0
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,28,30,1.12,1.16,-0.04586845263838768,0
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,29,30,1.16,1.2,0.4558003842830658,1
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,30,31,1.2,1.24,0.7285025119781494,1
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,31,32,1.24,1.28,0.7342698574066162,1
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,32,34,1.28,1.32,0.9621633887290955,1
