sample_id,video_id,face_id,episode_id,status,reason,start,end,input_openface_rows,talknet_frame_count,mean_class1_logit,median_class1_logit,max_class1_logit,speaking_frame_fraction
-3g5yACwYnA$_$13,-3g5yACwYnA,0,0,ok,,0.0,5.5,137,134,0.7889410257339478,0.8738570213317871,2.1992180347442627,0.8283582089552238
-3g5yACwYnA$_$2,-3g5yACwYnA,0,0,ok,,0.0,9.366666666666667,232,230,-0.13292044401168823,-0.279807984828949,1.9497979879379272,0.43478260869565216
-3g5yACwYnA$_$3,-3g5yACwYnA,0,0,ok,,0.0,14.366666666666667,360,358,-0.5661593675613403,-0.6141724586486816,1.6575859785079956,0.15083798882681565
-3g5yACwYnA$_$9,-3g5yACwYnA,0,0,ok,,0.0,8.733333333333333,219,217,-0.041739486157894135,0.12006747722625732,1.324480652809143,0.5806451612903226
-3nNcZdcdvU$_$5,-3nNcZdcdvU,0,0,ok,,0.0,7.866666666666666,197,194,-0.03427193686366081,-0.06865271925926208,1.6588330268859863,0.4690721649484536
-571d8cVauQ$_$0,-571d8cVauQ,0,0,ok,,0.3,5.166666666666666,119,117,-0.7095566391944885,-0.811251163482666,0.4530247449874878,0.18803418803418803
-571d8cVauQ$_$5,-571d8cVauQ,0,0,ok,,0.0,15.266666666666666,380,377,-1.2053425312042236,-1.2717119455337524,0.1455356478691101,0.005305039787798408
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,0,0,ok,,0.0,12.766666666666666,320,318,1.8150408267974854,1.8209178447723389,3.8519985675811768,0.9591194968553459
-9y-fZ3swSY$_$0,-9y-fZ3swSY,0,0,ok,,0.0,6.8999999999999995,172,168,-1.3366137742996216,-1.3663520812988281,-0.38819369673728943,0.0
-9y-fZ3swSY$_$4,-9y-fZ3swSY,0,0,ok,,0.0,2.6666666666666665,67,65,0.4403630495071411,0.5359978079795837,1.1279939413070679,0.8461538461538461
-9y-fZ3swSY$_$8,-9y-fZ3swSY,0,0,ok,,0.0,3.2666666666666666,78,80,-0.7223868370056152,-0.8467735052108765,0.02689175494015217,0.025
-9y-fZ3swSY$_$8,-9y-fZ3swSY,0,1,ok,,3.6333333333333333,4.933333333333334,30,31,-2.544339418411255,-2.465350389480591,-1.4058823585510254,0.0
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,0,0,ok,,0.0,22.5,562,559,-1.3458869457244873,-1.4394594430923462,0.5776326060295105,0.05008944543828265
-HeZS2-Prhc$_$2,-HeZS2-Prhc,0,0,ok,,0.0,8.233333333333333,205,203,1.246427059173584,1.0435311794281006,3.557354688644409,0.8472906403940886
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,0,0,error,ValueError: episode too short for synchronized MFCC and video,2.8666666666666667,2.9,1,0,,,,
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,0,1,ok,,3.2666666666666666,3.9666666666666663,18,16,-0.8298274874687195,-0.8686795234680176,-0.22668834030628204,0.0
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,0,0,error,ValueError: episode too short for synchronized MFCC and video,0.03333333333333333,0.06666666666666654,1,0,,,,
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,0,1,ok,,0.7333333333333333,0.8333333333333333,2,1,-1.30345618724823,-1.30345618724823,-1.30345618724823,0.0
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,0,2,ok,,1.3,1.5666666666666664,7,5,-0.1404278576374054,-0.11261472851037979,0.09664147347211838,0.2
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,0,3,ok,,5.466666666666667,5.633333333333333,2,1,-1.325339436531067,-1.325339436531067,-1.325339436531067,0.0
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,0,0,ok,,0.4,0.5333333333333333,2,2,-1.6216554641723633,-1.6216554641723633,-1.5670825242996216,0.0
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,0,1,ok,,1.0,1.4666666666666666,8,10,-0.7334917783737183,-0.780073881149292,-0.3930548131465912,0.0
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,0,2,error,ValueError: episode too short for synchronized MFCC and video,3.2,3.2666666666666666,2,0,,,,
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,0,0,ok,,0.0,1.1333333333333333,29,27,-0.8529691100120544,-0.7430742383003235,0.36051616072654724,0.037037037037037035
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,0,1,ok,,3.2333333333333334,5.766666666666667,63,62,-0.9557073712348938,-0.9590657949447632,-0.2741968035697937,0.0
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,0,2,ok,,6.4,7.633333333333333,31,29,0.7531177997589111,0.7371432781219482,1.2199164628982544,1.0
-I_e4mIh0yE$_$1,-I_e4mIh0yE,0,0,ok,,0.0,7.466666666666667,187,185,0.26530545949935913,0.5345709919929504,2.4228715896606445,0.7405405405405405
-I_e4mIh0yE$_$3,-I_e4mIh0yE,0,0,ok,,0.0,9.133333333333333,226,224,1.1586272716522217,1.1454094648361206,2.771014451980591,0.9151785714285714
-MeTTeMJBNc$_$0,-MeTTeMJBNc,0,0,error,ValueError: episode too short for synchronized MFCC and video,0.3,0.36666666666666653,2,0,,,,
