sample_id,video_id,episode_key,face_id,episode_id,start,end,frame_count,selected_frame_count,valid_embedding_count,robust_retained_count,dispersion,failures_json
-3g5yACwYnA$_$13,-3g5yACwYnA,0:0,0,0,0.0,5.5,137,12,12,10,0.011417895555496216,[]
-3g5yACwYnA$_$2,-3g5yACwYnA,0:0,0,0,0.0,9.366666666666667,232,12,12,10,0.014117985963821411,[]
-3g5yACwYnA$_$3,-3g5yACwYnA,0:0,0,0,0.0,14.366666666666667,360,12,12,10,0.009594440460205078,[]
-3g5yACwYnA$_$9,-3g5yACwYnA,0:0,0,0,0.0,8.733333333333333,219,12,12,10,0.013033926486968994,[]
-3nNcZdcdvU$_$5,-3nNcZdcdvU,0:0,0,0,0.0,7.866666666666666,197,12,12,10,0.05442693829536438,[]
-571d8cVauQ$_$0,-571d8cVauQ,0:0,0,0,0.3,5.166666666666666,119,12,12,10,0.0821080207824707,[]
-571d8cVauQ$_$5,-571d8cVauQ,0:0,0,0,0.0,15.266666666666666,380,12,12,10,0.08698844909667969,[]
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,0:0,0,0,0.0,12.766666666666666,320,12,12,10,0.049333810806274414,[]
-9y-fZ3swSY$_$0,-9y-fZ3swSY,0:0,0,0,0.0,6.8999999999999995,172,12,12,10,0.08714768290519714,[]
-9y-fZ3swSY$_$4,-9y-fZ3swSY,0:0,0,0,0.0,2.6666666666666665,67,12,12,10,0.10839909315109253,[]
-9y-fZ3swSY$_$8,-9y-fZ3swSY,0:0,0,0,0.0,3.2666666666666666,78,12,12,10,0.12958335876464844,[]
-9y-fZ3swSY$_$8,-9y-fZ3swSY,0:1,0,1,3.6333333333333333,4.933333333333334,30,12,12,10,0.09045293927192688,[]
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,0:0,0,0,0.0,22.5,562,12,12,10,0.033421486616134644,[]
-HeZS2-Prhc$_$2,-HeZS2-Prhc,0:0,0,0,0.0,8.233333333333333,205,12,12,10,0.09378215670585632,[]
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,0:0,0,0,2.8666666666666667,2.9,1,1,1,1,0.0,[]
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,0:1,0,1,3.2666666666666666,3.9666666666666663,18,12,12,10,0.028072983026504517,[]
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,0:0,0,0,0.03333333333333333,0.06666666666666654,1,1,1,1,0.0,[]
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,0:1,0,1,0.7333333333333333,0.8333333333333333,2,2,2,2,0.00994783639907837,[]
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,0:2,0,2,1.3,1.5666666666666664,7,7,7,6,0.037350982427597046,[]
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,0:3,0,3,5.466666666666667,5.633333333333333,2,2,2,2,0.029761016368865967,[]
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,0:0,0,0,0.4,0.5333333333333333,2,1,1,1,0.0,[]
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,0:1,0,1,1.0,1.4666666666666666,8,7,7,6,0.019775301218032837,[]
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,0:2,0,2,3.2,3.2666666666666666,2,2,2,2,0.007870525121688843,[]
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,0:0,0,0,0.0,1.1333333333333333,29,12,12,10,0.07190775871276855,[]
