sample_id,word_id,raw_word,ctc_start,ctc_end,forced_start,forced_end,start_error,end_error,midpoint_error
-3g5yACwYnA$_$13,0,They've,0.9140565476190474,1.5265383184523809,0.102,1.636,0.8120565476190474,0.10946168154761904,0.35129743303571426
-3g5yACwYnA$_$13,1,been,1.5265383184523809,1.5908136160714283,1.656,1.758,0.12946168154761906,0.16718638392857166,0.14832403273809536
-3g5yACwYnA$_$13,2,able,1.5908136160714283,1.7193642113095238,1.799,1.963,0.20818638392857158,0.2436357886904763,0.22591108630952395
-3g5yACwYnA$_$13,3,to,1.7193642113095238,1.9764654017857142,2.004,2.086,0.28463578869047623,0.10953459821428568,0.19708519345238096
-3g5yACwYnA$_$13,4,find,1.9764654017857142,2.169291294642857,2.229,2.454,0.2525345982142859,0.2847087053571431,0.2686216517857145
-3g5yACwYnA$_$13,5,solutions,2.169291294642857,2.876319568452381,2.494,3.006,0.32470870535714313,0.129680431547619,0.22719456845238106
-3g5yACwYnA$_$13,6,or,2.876319568452381,2.9727325148809522,3.128,3.21,0.2516804315476193,0.23726748511904772,0.2444739583333333
-3g5yACwYnA$_$13,7,at,2.9727325148809522,3.133420758928571,3.251,3.292,0.27826748511904764,0.15857924107142862,0.21842336309523813
-3g5yACwYnA$_$13,8,least,3.133420758928571,3.2298337053571426,3.333,3.476,0.199579241071429,0.24616629464285733,0.22287276785714338
-3g5yACwYnA$_$13,9,bring,3.2298337053571426,3.4226595982142856,3.558,3.823,0.3281662946428572,0.4003404017857144,0.3642533482142858
-3g5yACwYnA$_$13,10,some,3.4226595982142856,3.8083113839285714,3.885,4.069,0.46234040178571423,0.26068861607142857,0.3615145089285714
-3g5yACwYnA$_$13,11,answers,3.8083113839285714,4.290376116071428,4.171,4.437,0.3626886160714289,0.14662388392857206,0.25465625000000003
-3g5yACwYnA$_$13,12,to,4.290376116071428,4.3867890625,4.457,4.559,0.16662388392857164,0.17221093750000005,0.16941741071428584
-3g5yACwYnA$_$13,13,the,4.3867890625,4.483202008928571,4.58,4.662,0.19321093749999996,0.1787979910714288,0.18600446428571393
-3g5yACwYnA$_$13,14,table.,4.483202008928571,4.611752604166666,4.682,4.968,0.19879799107142926,0.35624739583333387,0.277522693452382
-3g5yACwYnA$_$2,0,Key,2.4270015243902434,2.9430839503484316,1.869,2.337,0.5580015243902434,0.6060839503484314,0.5820427373693373
-3g5yACwYnA$_$2,1,Polymer,2.9430839503484316,3.264732469512195,3.088,3.434,0.14491604965156846,0.1692675304878053,0.15709179006968688
-3g5yACwYnA$_$2,2,brings,3.264732469512195,3.538133710801393,3.454,3.657,0.1892675304878053,0.11886628919860698,0.15406690984320615
-3g5yACwYnA$_$2,3,a,3.538133710801393,3.6507106925087105,3.718,3.759,0.17986628919860692,0.1082893074912894,0.14407779834494838
-3g5yACwYnA$_$2,4,technical,3.6507106925087105,4.0688537674216025,3.799,4.267,0.14828930749128943,0.1981462325783978,0.17321777003484384
-3g5yACwYnA$_$2,5,aspect,4.0688537674216025,4.422667138501742,4.45,4.754,0.38114623257839764,0.33133286149825736,0.3562395470383275
-3g5yACwYnA$_$2,6,to,4.422667138501742,4.744315657665505,4.795,5.019,0.37233286149825773,0.27468434233449557,0.32350860191637665
-3g5yACwYnA$_$2,7,our,5.289673344947735,5.805755770905923,5.953,6.055,0.6633266550522654,0.24924422909407706,0.4562854420731708
-3g5yACwYnA$_$2,8,operation,5.805755770905923,6.288228549651567,6.116,6.563,0.310244229094077,0.27477145034843264,0.29250783972125527
-3g5yACwYnA$_$2,9,that,6.288228549651567,6.5455473649825775,6.603,6.746,0.3147714503484327,0.20045263501742294,0.25761204268292737
-3g5yACwYnA$_$2,10,we,6.5455473649825775,6.70637162456446,6.786,6.888,0.2404526350174221,0.18162837543554033,0.21104050522648166
-3g5yACwYnA$_$2,11,don't,6.70637162456446,6.979772865853658,6.928,7.132,0.22162837543554037,0.15222713414634192,0.18692775479094115
-3g5yACwYnA$_$2,12,have,6.979772865853658,7.092349847560975,7.172,7.315,0.19222713414634196,0.22265015243902564,0.2074386432926838
